date,min,max,mu,std
20170101,5.9,11,8.325,1.57222
20170102,5.1,13.4,9.15833,2.76419
20170103,5.8,9.8,7.27917,1.14236
20170104,6.2,11,8.04583,1.43555
20170105,2.4,6.4,4.4125,1.20634
20170106,0.8,7,3.46667,2.12361
20170107,0.5,9,4.4875,2.93063
20170108,1,9.1,5.70417,2.90825
20170109,5,10.6,7.00833,1.59372
20170110,3.9,10.1,6.71667,1.72353
20170111,3.2,6.8,4.70833,1.01772
20170112,3.1,6.3,5.175,0.828779
20170113,1.5,6.3,4.57083,1.39984
20170114,-2.2,3.7,0.65,1.91202
20170115,-1.2,3,1.04167,1.19684
20170116,1,4.7,2.25417,0.952181
20170117,1.2,5.7,3.14167,1.17435
20170118,1.4,9,5.2625,2.50313
20170119,0.7,6.3,4.42917,1.83586
20170120,-1.1,8.4,2.53333,2.55142
20170121,1.5,5.8,3.35417,1.37507
20170122,0.5,5.3,2.59167,1.34688
20170123,-1.1,1.8,0.8125,0.791261
20170124,-0.9,1.8,0.291667,0.675103
20170125,-0.5,2.5,0.9375,0.934885
20170126,-0.2,8.1,3.59583,2.99854
20170127,0.3,11.3,7.3625,2.90213
20170128,2.2,9.3,5.42083,2.38082
20170129,1.7,11,6.2875,3.20511
20170130,3.1,11.8,7.59583,2.41359
20170131,0.5,3.8,2.35,1.02021
20170201,0.6,9.3,3.75417,2.62789
20170202,-0.2,6.6,3.04167,2.11422
20170203,2.8,8.6,5.30417,1.70085
20170204,3.3,12,6.9,2.82666
20170205,4.1,9.9,6.77917,1.53975
20170206,2.1,8,5.52917,1.72348
20170207,0.9,3.1,2.00833,0.650587
20170208,1.2,6,3.2,1.51052
20170209,2,6.7,3.95417,1.42974
20170210,-0.6,4.6,1.7375,1.6286
20170211,0.6,4.8,2.72917,1.46898
20170212,0.7,2.8,1.6875,0.626706
20170213,-0.1,5.4,1.85833,1.56576
20170214,-0.1,3.5,1.58333,1.09341
20170215,1.8,7.5,4.24167,2.00227
20170216,1.1,15.3,8.95833,4.45776
20170217,3.2,13.6,9.64583,3.55223
20170218,-0.2,8.6,3.65833,2.72778
20170219,-0.3,7.5,4.00833,3.0876
20170220,3.9,12.6,8.37083,2.5996
20170221,1.1,4.1,2.60833,0.785767
20170222,-0.5,7.3,4.10833,2.96689
20170223,4,12.1,7.61667,2.50011
20170224,0.9,5.8,3.62917,1.30367
20170225,1.2,8.8,4.95,2.27743
20170226,2,7.7,4.42083,1.3997
20170227,1.2,6.6,3.45,1.7942
