tick,market_price
1,99.9994
2,99.9944
3,99.9976
4,100.006
5,100.044
6,100.083
7,100.089
8,100.088
9,100.092
10,100.1
11,100.105
12,100.102
13,100.103
14,100.109
15,100.129
16,100.138
17,100.142
18,100.142
19,100.143
20,100.143
21,100.145
22,100.146
23,100.147
24,100.148
25,100.152
26,100.154
27,100.142
28,100.135
29,100.137
30,100.139
31,100.134
32,100.137
33,100.137
34,100.146
35,100.149
36,100.146
37,100.145
38,100.143
39,100.144
40,100.144
41,100.143
42,100.143
43,100.148
44,100.15
45,100.151
46,100.153
47,100.152
48,100.149
49,100.137
50,100.13
51,100.128
52,100.124
53,100.123
54,100.122
55,100.114
56,100.104
57,100.086
58,100.081
59,100.082
60,100.08
61,100.079
62,100.076
63,100.089
64,100.091
65,100.086
66,100.081
67,100.08
68,100.076
69,100.078
70,100.079
71,100.09
72,100.092
73,100.092
74,100.082
75,100.078
76,100.087
77,100.09
78,100.086
79,100.084
80,100.078
81,100.07
82,100.049
83,100.035
84,100.027
85,100.031
86,100.031
87,100.025
88,100.013
89,100.006
90,100.002
91,99.9974
92,99.9946
93,99.9891
94,99.9827
95,99.9793
96,99.9816
97,99.9816
98,99.9832
99,99.9872
100,99.9887
101,99.9869
102,99.9874
103,99.9853
104,99.9838
105,99.9813
106,99.9804
107,99.9725
108,99.9712
109,99.9717
110,99.9724
111,99.9754
112,99.9808
113,99.9833
114,100.003
115,100.007
116,100.012
117,100.016
118,100.017
119,100.016
120,100.007
121,100.008
122,100.008
123,100.012
124,100.018
125,100.02
126,100.021
127,100.029
128,100.038
129,100.047
130,100.049
131,100.045
132,100.042
133,100.043
134,100.043
135,100.042
136,100.035
137,100.036
138,100.033
139,100.027
140,100.023
141,100.025
142,100.039
143,100.043
144,100.048
145,100.047
146,100.043
147,100.035
148,100.031
149,100.034
150,100.042
151,100.043
152,100.036
153,100.027
154,100.021
155,100.021
156,100.016
157,99.9959
158,99.972
159,99.9511
160,99.9421
161,99.9326
162,99.9284
163,99.9289
164,99.9203
165,99.906
166,99.8917
167,99.8563
168,99.8421
169,99.8426
170,99.8444
171,99.8434
172,99.8422
173,99.8444
174,99.8474
175,99.8477
176,99.8523
177,99.8535
178,99.8516
179,99.8514
180,99.8599
181,99.8634
182,99.8521
183,99.8468
184,99.8443
185,99.8439
186,99.8331
187,99.8346
188,99.8323
189,99.827
190,99.828
191,99.8284
192,99.8277
193,99.8301
194,99.8317
195,99.8368
196,99.8558
197,99.8568
198,99.8625
199,99.8691
200,99.8773
201,99.8812
202,99.8865
203,99.8869
204,99.887
205,99.8883
206,99.8885
207,99.8867
208,99.8876
209,99.8872
210,99.8841
211,99.8818
212,99.8776
213,99.877
214,99.8749
215,99.8808
216,99.8818
217,99.8781
218,99.8749
219,99.8612
220,99.8551
221,99.854
222,99.8549
223,99.8558
224,99.8565
225,99.854
226,99.856
227,99.8627
228,99.8601
229,99.8572
230,99.8517
231,99.8507
232,99.8666
233,99.8678
234,99.8837
235,99.9213
236,99.9622
