tick,market_price
1,100.003
2,100.009
3,100.012
4,100.009
5,100.003
6,99.9995
7,99.9985
8,100.002
9,100.002
10,99.9962
11,99.9888
12,99.9909
13,99.9942
14,99.9937
15,99.987
16,99.9899
17,99.9911
18,99.9898
19,99.9978
20,100.007
21,100.008
22,100.003
23,100
24,99.989
25,99.9824
26,99.9809
27,99.9847
28,99.9841
29,99.9833
30,99.9716
31,99.9701
32,99.9736
33,99.9797
34,99.9805
35,99.9803
36,99.9755
37,99.9735
38,99.9753
39,99.9732
40,99.971
41,99.9721
42,99.9667
43,99.9761
44,99.9778
45,99.9751
46,99.9736
47,99.9733
48,99.9714
49,99.9702
50,99.9672
51,99.9606
52,99.9608
53,99.9586
54,99.9589
55,99.9613
56,99.9687
57,99.9926
58,100.008
59,100.016
60,100.018
61,100.02
62,100.027
63,100.028
64,100.029
65,100.031
66,100.033
67,100.038
68,100.041
69,100.044
70,100.047
71,100.048
72,100.05
73,100.053
74,100.054
75,100.056
76,100.049
77,100.055
78,100.056
79,100.058
80,100.061
81,100.059
82,100.055
83,100.041
84,100.033
85,100.03
86,100.03
87,100.027
88,100.026
89,100.021
90,100.012
91,99.9977
92,99.9911
93,99.9871
94,99.9872
95,99.9851
96,99.9839
97,99.9847
98,99.9823
99,99.9802
100,99.9816
101,99.983
102,99.9811
103,99.9816
104,99.9785
105,99.9771
106,99.9788
107,99.9819
108,99.992
109,99.9974
110,100.007
111,100.011
112,100.016
113,100.026
114,100.034
115,100.04
116,100.04
117,100.032
118,100.027
119,100.039
120,100.045
121,100.052
122,100.063
123,100.069
124,100.068
125,100.063
126,100.053
127,100.046
128,100.036
129,100.033
130,100.028
131,100.03
132,100.029
133,100.037
134,100.04
135,100.029
136,100.033
137,100.038
138,100.039
139,100.04
140,100.036
141,100.047
142,100.06
143,100.06
144,100.065
145,100.069
146,100.067
147,100.062
148,100.062
149,100.057
150,100.057
151,100.062
152,100.068
153,100.074
154,100.079
155,100.099
156,100.103
157,100.112
158,100.123
159,100.134
160,100.143
161,100.155
162,100.157
163,100.149
164,100.144
165,100.143
166,100.146
167,100.145
168,100.147
169,100.15
170,100.168
171,100.185
172,100.19
173,100.191
174,100.189
175,100.195
176,100.198
177,100.195
178,100.189
179,100.18
180,100.181
181,100.18
182,100.174
183,100.174
184,100.171
185,100.174
186,100.182
187,100.207
188,100.209
189,100.213
190,100.216
191,100.22
192,100.222
193,100.224
194,100.227
195,100.247
196,100.25
197,100.248
198,100.247
199,100.245
200,100.248
201,100.252
202,100.252
203,100.25
204,100.243
205,100.243
206,100.248
207,100.253
208,100.258
209,100.266
210,100.271
211,100.283
212,100.289
213,100.304
214,100.306
215,100.309
216,100.296
217,100.293
218,100.284
219,100.281
220,100.28
221,100.287
222,100.308
223,100.325
224,100.344
225,100.366
226,100.394
227,100.416
228,100.426
229,100.434
230,100.432
231,100.432
232,100.424
233,100.419
234,100.411
235,100.404
236,100.406
237,100.401
238,100.397
239,100.395
240,100.393
241,100.389
242,100.386
243,100.384
244,100.381
245,100.368
246,100.365
247,100.358
248,100.359
249,100.366
250,100.369
251,100.37
252,100.368
253,100.371
254,100.376
255,100.361
256,100.362
257,100.354
258,100.352
259,100.346
260,100.343
261,100.338
262,100.337
263,100.342
264,100.349
265,100.352
266,100.356
267,100.358
268,100.358
269,100.343
270,100.343
271,100.35
272,100.359
273,100.364
274,100.366
275,100.364
276,100.364
277,100.359
278,100.355
279,100.348
280,100.352
281,100.353
282,100.348
283,100.349
284,100.349
285,100.348
286,100.349
287,100.354
288,100.352
289,100.353
290,100.349
291,100.346
292,100.339
293,100.335
294,100.343
295,100.348
296,100.346
297,100.345
298,100.341
299,100.338
300,100.332
301,100.331
302,100.323
303,100.31
304,100.297
305,100.291
306,100.294
307,100.295
308,100.304
309,100.304
310,100.303
311,100.304
312,100.314
313,100.323
314,100.324
315,100.342
316,100.36
317,100.372
318,100.374
319,100.37
320,100.371
321,100.381
322,100.386
323,100.388
324,100.384
325,100.381
326,100.385
327,100.385
328,100.386
329,100.389
330,100.405
331,100.419
332,100.431
333,100.441
334,100.448
335,100.45
336,100.46
337,100.482
338,100.483
339,100.484
340,100.49
341,100.496
342,100.507
343,100.504
344,100.495
345,100.493
346,100.491
347,100.494
348,100.497
349,100.499
350,100.501
351,100.49
352,100.459
353,100.433
354,100.431
355,100.433
356,100.439
357,100.441
358,100.45
359,100.451
360,100.452
361,100.451
362,100.451
363,100.451
364,100.45
365,100.45
366,100.453
367,100.458
368,100.459
369,100.46
370,100.461
371,100.46
372,100.463
373,100.457
374,100.463
375,100.46
376,100.461
377,100.462
378,100.466
379,100.48
380,100.507
381,100.511
382,100.514
383,100.506
384,100.506
385,100.506
386,100.517
387,100.521
388,100.52
389,100.517
390,100.505
391,100.5
392,100.503
393,100.5
394,100.489
395,100.482
396,100.481
397,100.481
398,100.482
399,100.494
400,100.496
401,100.49
402,100.483
403,100.487
404,100.488
405,100.498
406,100.5
407,100.502
408,100.497
409,100.498
410,100.496
411,100.492
412,100.489
413,100.49
414,100.481
415,100.47
416,100.455
417,100.454
418,100.461
419,100.461
420,100.465
421,100.47
422,100.47
423,100.458
424,100.454
425,100.456
426,100.452
427,100.454
428,100.46
429,100.477
430,100.49
431,100.5
432,100.501
433,100.498
434,100.496
435,100.493
436,100.488
437,100.491
438,100.492
439,100.49
440,100.486
441,100.488
442,100.487
443,100.496
444,100.496
445,100.495
446,100.488
447,100.468
448,100.453
449,100.452
450,100.452
451,100.451
452,100.45
453,100.443
454,100.438
455,100.434
456,100.432
457,100.439
458,100.45
459,100.456
460,100.461
461,100.461
462,100.459
463,100.456
464,100.447
465,100.437
466,100.431
467,100.428
468,100.418
469,100.411
470,100.406
471,100.409
472,100.403
473,100.402
474,100.398
475,100.4
476,100.4
477,100.395
478,100.392
479,100.392
480,100.392
481,100.393
482,100.388
483,100.375
484,100.371
485,100.37
486,100.374
487,100.374
488,100.375
489,100.373
490,100.372
491,100.363
492,100.346
493,100.346
494,100.344
495,100.344
496,100.343
497,100.353
498,100.357
499,100.357
500,100.356
501,100.353
502,100.356
503,100.357
504,100.356
505,100.354
506,100.359
507,100.368
508,100.385
509,100.397
510,100.404
511,100.411
512,100.414
513,100.416
514,100.416
515,100.415
516,100.414
517,100.414
518,100.416
519,100.419
520,100.416
521,100.411
522,100.406
523,100.398
524,100.395
525,100.393
526,100.394
527,100.386
528,100.386
529,100.378
530,100.356
531,100.343
532,100.336
533,100.339
534,100.34
535,100.342
536,100.349
537,100.361
538,100.371
539,100.368
540,100.364
541,100.348
542,100.342
543,100.343
544,100.346
545,100.345
546,100.344
547,100.353
548,100.355
549,100.345
550,100.34
551,100.334
552,100.33
553,100.328
554,100.327
555,100.333
556,100.331
557,100.333
558,100.331
559,100.333
560,100.337
561,100.34
562,100.345
563,100.345
564,100.359
565,100.369
566,100.379
567,100.376
568,100.378
569,100.378
570,100.381
571,100.377
572,100.377
573,100.381
574,100.386
575,100.39
576,100.388
577,100.388
578,100.382
579,100.371
580,100.37
581,100.37
582,100.371
583,100.382
584,100.384
585,100.384
586,100.38
587,100.376
588,100.38
589,100.38
590,100.376
591,100.371
592,100.37
593,100.368
594,100.367
595,100.365
596,100.369
597,100.368
598,100.367
599,100.373
600,100.381
601,100.379
602,100.377
603,100.372
604,100.376
605,100.385
606,100.386
607,100.394
608,100.406
609,100.408
610,100.407
611,100.409
612,100.406
613,100.405
614,100.406
615,100.409
616,100.414
617,100.413
618,100.411
619,100.412
620,100.417
621,100.412
622,100.405
623,100.389
624,100.382
625,100.372
626,100.37
627,100.371
628,100.371
629,100.364
630,100.354
631,100.35
632,100.349
633,100.342
634,100.339
635,100.345
636,100.344
637,100.343
638,100.351
639,100.363
640,100.363
641,100.365
642,100.351
643,100.351
644,100.348
645,100.342
646,100.341
647,100.34
648,100.337
649,100.334
650,100.335
651,100.332
652,100.331
653,100.33
654,100.329
655,100.328
656,100.329
657,100.322
658,100.317
659,100.307
660,100.305
661,100.301
662,100.303
663,100.299
664,100.296
665,100.298
666,100.298
667,100.299
668,100.301
669,100.303
670,100.301
671,100.302
672,100.299
673,100.302
674,100.299
675,100.304
676,100.296
677,100.298
678,100.299
679,100.286
680,100.273
681,100.267
682,100.26
683,100.256
684,100.256
685,100.256
686,100.262
687,100.267
688,100.274
689,100.28
690,100.281
691,100.278
692,100.281
693,100.279
694,100.276
695,100.274
696,100.272
697,100.274
698,100.269
699,100.271
700,100.281
701,100.285
702,100.284
703,100.285
704,100.297
705,100.3
706,100.303
707,100.309
708,100.317
709,100.319
710,100.319
711,100.325
712,100.336
713,100.341
714,100.346
715,100.342
716,100.342
717,100.343
718,100.343
719,100.338
720,100.327
721,100.323
722,100.326
723,100.33
724,100.327
725,100.316
726,100.317
727,100.319
728,100.322
729,100.32
730,100.309
731,100.27
732,100.229
733,100.216
734,100.205
735,100.196
736,100.186
737,100.184
738,100.188
739,100.199
740,100.209
741,100.209
742,100.211
743,100.217
744,100.224
745,100.228
746,100.234
747,100.237
748,100.234
749,100.228
750,100.222
751,100.218
752,100.213
753,100.219
754,100.224
755,100.224
756,100.222
757,100.217
758,100.222
759,100.219
760,100.216
761,100.212
762,100.212
763,100.212
764,100.206
765,100.209
766,100.197
767,100.196
768,100.2
769,100.207
770,100.212
771,100.217
772,100.223
773,100.223
774,100.223
775,100.217
776,100.213
777,100.21
778,100.209
779,100.206
780,100.195
781,100.192
782,100.189
783,100.189
784,100.192
785,100.192
786,100.207
787,100.217
788,100.218
789,100.22
790,100.224
791,100.232
792,100.235
793,100.234
794,100.242
795,100.246
796,100.246
797,100.249
798,100.246
799,100.243
800,100.242
801,100.241
802,100.236
803,100.24
804,100.243
805,100.245
806,100.238
807,100.236
808,100.237
809,100.243
810,100.248
811,100.247
812,100.247
813,100.252
814,100.244
815,100.234
816,100.232
817,100.225
818,100.227
819,100.231
820,100.238
821,100.242
822,100.252
823,100.255
824,100.257
825,100.256
826,100.246
827,100.244
828,100.247
829,100.248
830,100.243
831,100.244
832,100.245
833,100.252
834,100.261
835,100.261
836,100.265
837,100.266
838,100.258
839,100.25
840,100.248
841,100.24
842,100.232
843,100.227
844,100.233
845,100.24
846,100.252
847,100.285
848,100.338
849,100.426
850,100.581
851,100.689
852,100.708
853,100.711
854,100.717
855,100.712
856,100.715
857,100.717
858,100.719
859,100.713
860,100.711
861,100.709
862,100.709
863,100.699
864,100.7
865,100.712
866,100.739
867,100.748
868,100.751
869,100.748
870,100.736
871,100.729
872,100.732
873,100.739
874,100.75
875,100.753
876,100.752
877,100.752
878,100.758
879,100.762
880,100.763
881,100.765
882,100.765
883,100.76
884,100.747
885,100.742
886,100.729
887,100.727
888,100.736
889,100.74
890,100.741
891,100.742
892,100.742
893,100.749
894,100.754
895,100.759
896,100.75
897,100.736
898,100.712
899,100.709
900,100.701
901,100.702
902,100.699
903,100.702
904,100.705
905,100.71
906,100.733
907,100.739
908,100.749
909,100.754
910,100.752
911,100.758
912,100.761
913,100.765
914,100.763
915,100.758
916,100.761
917,100.763
918,100.766
919,100.773
920,100.785
921,100.788
922,100.789
923,100.79
924,100.787
925,100.788
926,100.786
927,100.786
928,100.795
929,100.81
930,100.814
931,100.817
932,100.823
933,100.823
934,100.822
935,100.821
936,100.822
937,100.821
938,100.831
939,100.832
940,100.835
941,100.834
942,100.832
943,100.839
944,100.843
945,100.841
946,100.838
947,100.838
948,100.831
949,100.831
950,100.831
951,100.833
952,100.841
953,100.842
954,100.848
955,100.856
956,100.858
957,100.866
958,100.875
959,100.883
960,100.887
961,100.89
962,100.897
963,100.897
964,100.9
965,100.891
966,100.89
967,100.898
968,100.908
969,100.917
970,100.932
971,100.944
972,100.962
973,100.976
974,100.986
975,100.987
976,100.979
977,100.976
978,100.977
979,100.977
980,100.989
981,100.99
982,100.989
983,100.989
984,100.988
985,100.99
986,100.987
987,100.98
988,100.978
989,100.96
990,100.958
991,100.964
992,100.978
993,100.988
994,100.995
995,100.993
996,100.992
997,100.993
998,100.993
999,100.998
1000,101
1001,101
1002,101.002
1003,101.003
1004,101.007
1005,101.012
1006,101.012
1007,101.011
1008,101.008
1009,101.011
1010,101.024
1011,101.029
1012,101.033
1013,101.032
1014,101.032
1015,101.043
1016,101.054
1017,101.051
1018,101.054
1019,101.054
1020,101.049
1021,101.04
1022,101.035
1023,101.03
1024,101.028
1025,101.034
1026,101.04
1027,101.053
1028,101.057
1029,101.06
1030,101.062
1031,101.063
1032,101.054
1033,101.051
1034,101.043
1035,101.043
1036,101.043
1037,101.042
1038,101.021
1039,100.995
1040,100.964
1041,100.922
1042,100.918
1043,100.913
1044,100.911
1045,100.911
1046,100.91
1047,100.912
1048,100.926
1049,100.93
1050,100.937
1051,100.939
1052,100.948
1053,100.957
1054,100.965
1055,100.968
1056,100.967
1057,100.971
1058,100.972
1059,100.981
1060,100.988
1061,100.988
1062,100.986
1063,100.986
1064,100.991
1065,101.001
1066,101.008
1067,101.009
1068,101.012
1069,101.012
1070,101.011
1071,101.008
1072,101.006
1073,101.006
1074,101.003
1075,101.004
1076,101.002
1077,100.986
1078,100.984
1079,100.975
1080,100.97
1081,100.967
1082,100.969
1083,100.972
1084,100.972
1085,100.967
1086,100.967
1087,100.964
1088,100.963
1089,100.963
